"HDI Rank (2018),""Country"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"""
"170,""Afghanistan"",""0.298"",""0.304"",""0.312"",""0.308"",""0.303"",""0.327"",""0.331"",""0.335"",""0.339"",""0.343"",""0.345"",""0.347"",""0.378"",""0.387"",""0.400"",""0.410"",""0.419"",""0.431"",""0.436"",""0.447"",""0.464"",""0.465"",""0.479"",""0.485"",""0.488"",""0.490"",""0.491"",""0.493"",""0.496"""
"69,""Albania"",""0.644"",""0.625"",""0.608"",""0.611"",""0.617"",""0.629"",""0.639"",""0.639"",""0.649"",""0.660"",""0.667"",""0.673"",""0.680"",""0.687"",""0.692"",""0.702"",""0.709"",""0.718"",""0.724"",""0.729"",""0.740"",""0.759"",""0.771"",""0.781"",""0.787"",""0.788"",""0.788"",""0.789"",""0.791"""
"82,""Algeria"",""0.578"",""0.582"",""0.589"",""0.593"",""0.597"",""0.602"",""0.610"",""0.619"",""0.629"",""0.638"",""0.646"",""0.655"",""0.666"",""0.676"",""0.685"",""0.694"",""0.699"",""0.708"",""0.711"",""0.720"",""0.730"",""0.738"",""0.737"",""0.746"",""0.749"",""0.751"",""0.755"",""0.758"",""0.759"""
"36,""Andorra"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",""0.759"",""0.767"",""0.780"",""0.820"",""0.826"",""0.819"",""0.829"",""0.829"",""0.831"",""0.830"",""0.828"",""0.827"",""0.849"",""0.846"",""0.853"",""0.850"",""0.854"",""0.852"",""0.857"""
"149,""Angola"","".."","".."","".."","".."","".."","".."","".."","".."","".."",""0.384"",""0.394"",""0.404"",""0.419"",""0.428"",""0.440"",""0.453"",""0.466"",""0.482"",""0.494"",""0.508"",""0.510"",""0.525"",""0.537"",""0.547"",""0.557"",""0.565"",""0.570"",""0.576"",""0.574"""
"74,""Antigua and Barbuda"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",""0.773"",""0.779"",""0.784"",""0.783"",""0.776"",""0.772"",""0.764"",""0.767"",""0.767"",""0.767"",""0.770"",""0.772"",""0.774"",""0.776"""
"48,""Argentina"",""0.707"",""0.714"",""0.719"",""0.725"",""0.729"",""0.731"",""0.738"",""0.746"",""0.752"",""0.763"",""0.770"",""0.775"",""0.770"",""0.775"",""0.775"",""0.777"",""0.801"",""0.806"",""0.810"",""0.810"",""0.818"",""0.823"",""0.823"",""0.824"",""0.825"",""0.828"",""0.828"",""0.832"",""0.830"""
"81,""Armenia"",""0.633"",""0.629"",""0.585"",""0.590"",""0.600"",""0.604"",""0.614"",""0.625"",""0.637"",""0.644"",""0.649"",""0.653"",""0.663"",""0.672"",""0.681"",""0.694"",""0.708"",""0.724"",""0.727"",""0.724"",""0.729"",""0.733"",""0.737"",""0.743"",""0.746"",""0.748"",""0.751"",""0.758"",""0.760"""
"6,""Australia"",""0.866"",""0.867"",""0.868"",""0.872"",""0.875"",""0.883"",""0.886"",""0.889"",""0.892"",""0.895"",""0.898"",""0.900"",""0.903"",""0.904"",""0.907"",""0.902"",""0.905"",""0.908"",""0.922"",""0.923"",""0.926"",""0.928"",""0.932"",""0.926"",""0.929"",""0.933"",""0.935"",""0.937"",""0.938"""
"20,""Austria"",""0.795"",""0.799"",""0.805"",""0.809"",""0.813"",""0.817"",""0.820"",""0.824"",""0.828"",""0.834"",""0.838"",""0.849"",""0.838"",""0.842"",""0.849"",""0.855"",""0.861"",""0.881"",""0.884"",""0.886"",""0.895"",""0.897"",""0.899"",""0.896"",""0.904"",""0.906"",""0.909"",""0.912"",""0.914"""
"87,""Azerbaijan"","".."","".."","".."","".."","".."",""0.612"",""0.612"",""0.618"",""0.627"",""0.634"",""0.641"",""0.649"",""0.658"",""0.667"",""0.674"",""0.681"",""0.707"",""0.712"",""0.721"",""0.734"",""0.732"",""0.731"",""0.736"",""0.741"",""0.746"",""0.749"",""0.749"",""0.752"",""0.754"""
"60,""Bahamas"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",""0.787"",""0.788"",""0.790"",""0.789"",""0.790"",""0.791"",""0.794"",""0.794"",""0.794"",""0.793"",""0.795"",""0.795"",""0.797"",""0.797"",""0.796"",""0.799"",""0.800"",""0.804"",""0.805"""
"45,""Bahrain"",""0.736"",""0.755"",""0.756"",""0.764"",""0.768"",""0.775"",""0.779"",""0.781"",""0.784"",""0.786"",""0.792"",""0.792"",""0.792"",""0.793"",""0.792"",""0.792"",""0.793"",""0.796"",""0.796"",""0.794"",""0.796"",""0.798"",""0.800"",""0.807"",""0.810"",""0.834"",""0.839"",""0.839"",""0.838"""
"135,""Bangladesh"",""0.388"",""0.395"",""0.403"",""0.411"",""0.419"",""0.427"",""0.436"",""0.444"",""0.453"",""0.462"",""0.470"",""0.479"",""0.485"",""0.492"",""0.499"",""0.506"",""0.514"",""0.521"",""0.524"",""0.535"",""0.549"",""0.559"",""0.567"",""0.572"",""0.572"",""0.588"",""0.599"",""0.609"",""0.614"""
"56,""Barbados"",""0.732"",""0.733"",""0.733"",""0.737"",""0.743"",""0.747"",""0.751"",""0.757"",""0.756"",""0.764"",""0.771"",""0.770"",""0.774"",""0.778"",""0.782"",""0.786"",""0.791"",""0.796"",""0.799"",""0.801"",""0.799"",""0.802"",""0.811"",""0.812"",""0.812"",""0.812"",""0.814"",""0.813"",""0.813"""
"50,""Belarus"","".."","".."","".."","".."","".."",""0.656"",""0.661"",""0.667"",""0.671"",""0.676"",""0.682"",""0.689"",""0.696"",""0.704"",""0.714"",""0.724"",""0.740"",""0.756"",""0.774"",""0.784"",""0.792"",""0.798"",""0.803"",""0.808"",""0.811"",""0.811"",""0.812"",""0.815"",""0.817"""
